k-nearest  (Abstract) AND Meteorology & Atmospheric Sciences  (Web of Science Categories)
Timespan:1900-2023. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Assessment of the quality of the Version 1.07 temperature-versus-pressure profiles of the middle atmosphere from TIMED/SABER","Remsberg, E. E.; Marshall, B. T.; Garcia-Comas, M.; Krueger, D.; Lingenfelser, G. S.; Martin-Torres, J.; Mlynczak, M. G.; Russell, J. M., III; Smith, A. K.; Zhao, Y.; Brown, C.; Gordley, L. L.; Lopez-Gonzalez, M. J.; Lopez-Puertas, M.; She, C. -Y.; Taylor, M. J.; Thompson, R. E.","","","","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES","SEP 3 2008","2008","113","D17","","","","","","D17101","10.1029/2008JD010013","","","314","19.63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","21","25","16","26","23","15","24","22","26","20","21","16","32","24","0"
"Tropical climates at the Last Glacial Maximum: a new synthesis of terrestrial palaeoclimate data. I. Vegetation, lake levels and geochemistry","Farrera, I; Harrison, SP; Prentice, IC; Ramstein, G; Guiot, J; Bartlein, PJ; Bonnefille, R; Bush, M; Cramer, W; von Grafenstein, U; Holmgren, K; Hooghiemstra, H; Hope, G; Jolly, D; Lauritzen, SE; Ono, Y; Pinot, S; Stute, M; Yu, G","","","","CLIMATE DYNAMICS","NOV 1999","1999","15","11","","","","823","856","","10.1007/s003820050317","","","242","9.68","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","12","10","18","21","14","15","17","17","12","13","15","8","10","4","7","6","5","6","13","5","4","2","0"
"Automatic cloud classification of whole sky images","Heinle, A.; Macke, A.; Srivastav, A.","","","","ATMOSPHERIC MEASUREMENT TECHNIQUES","2010","2010","3","3","","","","557","567","","10.5194/amt-3-557-2010","","","220","15.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","9","7","15","27","22","27","25","24","17","27","17","0"
"Infrared spectroscopic study of the deliquescence and efflorescence of ammonium sulfate aerosol as a function of temperature","Onasch, TB; Siefert, RL; Brooks, SD; Prenni, AJ; Murray, B; Wilson, MA; Tolbert, MA","","","","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES","SEP 20 1999","1999","104","D17","","","","21317","21326","","10.1029/1999JD900384","","","130","5.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","4","8","6","8","4","8","2","5","10","11","4","9","3","6","3","5","3","4","3","5","8","4","0"
"Cloud detection and classification with the use of whole-sky ground-based images","Kazantzidis, A.; Tzoumanikas, P.; Bais, A. F.; Fotopoulos, S.; Economou, G.","","","","ATMOSPHERIC RESEARCH","SEP 2012","2012","113","","","","","80","88","","10.1016/j.atmosres.2012.05.005","","","123","10.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","19","14","16","19","15","9","13","10","0"
"Remote sensing of the thermodynamic state of the atmospheric boundary layer by ground-based microwave radiometry","Guldner, J; Spankuch, D","","","","JOURNAL OF ATMOSPHERIC AND OCEANIC TECHNOLOGY","2001","2001","18","6","","","","925","933","","10.1175/1520-0426(2001)018<0925:RSOTTS>2.0.CO;2","","","118","5.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","0","6","4","4","1","4","5","5","6","11","11","9","7","6","6","5","3","6","7","0"
"Regional forest biomass and wood volume estimation using satellite data and ancillary data","Fazakas, Z; Nilsson, M; Olsson, H","","","","AGRICULTURAL AND FOREST METEOROLOGY","DEC 31 1999","1999","98-9","","","","SI","417","425","","10.1016/S0168-1923(99)00112-4","","","108","4.32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","5","3","5","6","8","6","7","2","6","5","5","4","7","5","10","7","2","2","5","4","1","0"
"The solar cycle variation of total ozone: Dynamical forcing in the lower stratosphere","Hood, LL","","","","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES","JAN 20 1997","1997","102","D1","","","","1355","1370","","10.1029/96JD00210","International Conference on Ozone in the Lower Stratosphere","1995","107","3.96","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","10","8","2","5","5","6","3","7","8","6","4","2","9","5","2","0","4","4","4","1","2","0","6","0","1","0"
"A comparison between ten advanced and soft computing models for groundwater qanat potential assessment in Iran using R and GIS","Naghibi, Seyed Amir; Pourghasemi, Hamid Reza; Abbaspour, Karim","","","","THEORETICAL AND APPLIED CLIMATOLOGY","FEB 2018","2018","131","3-4","","","","967","984","","10.1007/s00704-016-2022-4","","","93","15.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","9","22","31","13","15","0"
"Apparent solar cycle variations of upper stratospheric ozone and temperature: Latitude and seasonal dependences","McCormack, JP; Hood, LL","","","","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES","SEP 20 1996","1996","101","D15","","","","20933","20944","","10.1029/96JD01817","","","90","3.21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","5","3","5","4","5","5","7","6","8","4","7","5","2","2","1","3","1","0","2","2","1","2","0","3","0"
"Modeling Pan Evaporation Using Gaussian Process Regression K-Nearest Neighbors Random Forest and Support Vector Machines; Comparative Analysis","Shabani, Sevda; Samadianfard, Saeed; Sattari, Mohammad Taghi; Mosavi, Amir; Shamshirband, Shahaboddin; Kmet, Tibor; Varkonyi-Koczy, Annamaria R.","","","","ATMOSPHERE","JAN 2020","2020","11","1","","","","","","66","10.3390/atmos11010066","","","70","17.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","23","37","1"
"A nonparametric nonhomogeneous hidden Markov model for downscaling of multisite daily rainfall occurrences","Mehrotra, R; Sharma, A","","","","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES","AUG 30 2005","2005","110","D16","","","","","","D16108","10.1029/2004JD005677","","","64","3.37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","5","4","5","4","4","6","4","4","3","3","4","4","2","3","3","0"
